"Time","superficie s11"
2023-07-30 07:00:00,39.31
2023-07-30 08:00:00,39.26
2023-07-30 09:00:00,39.49
2023-07-30 10:00:00,40.04
2023-07-30 11:00:00,40.30
2023-07-30 12:00:00,40.53
2023-07-30 13:00:00,40.44
2023-07-30 14:00:00,40.52
2023-07-30 15:00:00,40.83
2023-07-30 16:00:00,41.11
2023-07-30 17:00:00,41.17
2023-07-30 18:00:00,41.10
2023-07-30 19:00:00,41.00
2023-07-30 20:00:00,40.95
2023-07-30 21:00:00,40.80
2023-07-30 22:00:00,40.39
2023-07-30 23:00:00,40.04
2023-07-31 00:00:00,39.88
2023-07-31 01:00:00,39.70
2023-07-31 02:00:00,39.54
2023-07-31 03:00:00,39.44
2023-07-31 04:00:00,39.36
2023-07-31 05:00:00,39.28
2023-07-31 06:00:00,39.25
2023-07-31 07:00:00,39.25
2023-07-31 08:00:00,39.39
2023-07-31 09:00:00,39.78
2023-07-31 10:00:00,40.28
2023-07-31 11:00:00,40.53
2023-07-31 12:00:00,40.66
2023-07-31 13:00:00,40.50
2023-07-31 14:00:00,40.21
2023-07-31 15:00:00,40.04
2023-07-31 16:00:00,40.31
2023-07-31 17:00:00,40.71
2023-07-31 18:00:00,40.90
2023-07-31 19:00:00,40.75
2023-07-31 20:00:00,40.36
2023-07-31 21:00:00,39.93
2023-07-31 22:00:00,39.77
2023-07-31 23:00:00,39.60
2023-08-01 00:00:00,39.48
2023-08-01 01:00:00,39.31
2023-08-01 02:00:00,39.08
2023-08-01 03:00:00,38.84
2023-08-01 04:00:00,38.65
2023-08-01 05:00:00,38.47
2023-08-01 06:00:00,38.35
2023-08-01 07:00:00,38.42
2023-08-01 08:00:00,38.52
2023-08-01 09:00:00,38.67
2023-08-01 10:00:00,38.93
2023-08-01 11:00:00,39.22
2023-08-01 12:00:00,39.13
2023-08-01 13:00:00,38.99
2023-08-01 14:00:00,39.05
2023-08-01 15:00:00,39.35
2023-08-01 16:00:00,39.79
2023-08-01 17:00:00,39.89
2023-08-01 18:00:00,39.61
2023-08-01 19:00:00,39.41
2023-08-01 20:00:00,39.35
2023-08-01 21:00:00,39.13
2023-08-01 22:00:00,38.95
2023-08-01 23:00:00,38.88
