"Time","superficie"
2023-06-21 07:00:00,29.78
2023-06-21 07:20:00,29.75
2023-06-21 07:40:00,29.75
2023-06-21 08:00:00,29.75
2023-06-21 08:20:00,29.75
2023-06-21 08:40:00,29.81
2023-06-21 09:00:00,29.94
2023-06-21 09:20:00,29.94
2023-06-21 09:40:00,29.84
2023-06-21 10:00:00,29.78
2023-06-21 10:20:00,29.97
2023-06-21 10:40:00,30.03
2023-06-21 11:00:00,30.16
2023-06-21 11:20:00,30.25
2023-06-21 11:40:00,30.31
2023-06-21 12:00:00,30.34
2023-06-21 12:20:00,30.41
2023-06-21 12:40:00,30.53
2023-06-21 13:00:00,30.63
2023-06-21 13:20:00,30.75
2023-06-21 13:40:00,30.97
2023-06-21 14:00:00,31.13
2023-06-21 14:20:00,31.09
2023-06-21 14:40:00,31.25
2023-06-21 15:00:00,31.31
2023-06-21 15:20:00,31.41
2023-06-21 15:40:00,31.50
2023-06-21 16:00:00,31.56
2023-06-21 16:20:00,31.66
2023-06-21 16:40:00,31.72
2023-06-21 17:00:00,31.81
2023-06-21 17:20:00,31.94
2023-06-21 17:40:00,32.03
2023-06-21 18:00:00,31.88
2023-06-21 18:20:00,31.94
2023-06-21 18:40:00,31.94
2023-06-21 19:00:00,31.97
2023-06-21 19:20:00,31.84
2023-06-21 19:40:00,31.78
2023-06-21 20:00:00,31.72
2023-06-21 20:20:00,31.63
2023-06-21 20:40:00,31.53
2023-06-21 21:00:00,31.34
2023-06-21 21:20:00,31.35
2023-06-21 21:40:00,31.25
2023-06-21 22:00:00,31.22
2023-06-21 22:20:00,31.16
2023-06-21 22:40:00,31.06
2023-06-21 23:00:00,31.00
2023-06-21 23:20:00,30.97
2023-06-21 23:40:00,30.94
2023-06-22 00:00:00,30.88
2023-06-22 00:20:00,30.81
2023-06-22 00:40:00,30.75
2023-06-22 01:00:00,30.75
2023-06-22 01:20:00,30.72
2023-06-22 01:40:00,30.66
2023-06-22 02:00:00,30.59
2023-06-22 02:20:00,30.56
2023-06-22 02:40:00,30.53
2023-06-22 03:00:00,30.50
2023-06-22 03:20:00,30.44
2023-06-22 03:40:00,30.44
2023-06-22 04:00:00,30.38
