"Time","fondo s2"
2023-01-17 22:30:00,14.98
2023-01-17 23:00:00,15.00
2023-01-17 23:30:00,14.79
2023-01-18 00:00:00,14.54
2023-01-18 00:30:00,14.75
2023-01-18 01:00:00,14.42
2023-01-18 01:30:00,14.35
2023-01-18 02:00:00,14.29
2023-01-18 02:30:00,14.29
2023-01-18 03:00:00,14.23
2023-01-18 03:30:00,14.17
2023-01-18 04:00:00,14.23
2023-01-18 04:30:00,14.16
2023-01-18 05:00:00,14.00
2023-01-18 05:30:00,13.94
2023-01-18 06:00:00,13.90
2023-01-18 06:30:00,13.79
2023-01-18 07:00:00,13.67
2023-01-18 07:30:00,13.58
2023-01-18 08:00:00,13.48
2023-01-18 08:30:00,13.35
2023-01-18 09:00:00,13.33
2023-01-18 09:30:00,13.27
2023-01-18 10:00:00,13.25
2023-01-18 10:30:00,13.19
2023-01-18 11:00:00,13.19
2023-01-18 11:30:00,13.17
2023-01-18 12:00:00,13.15
2023-01-18 12:30:00,13.13
2023-01-18 13:00:00,13.13
2023-01-18 13:30:00,13.19
2023-01-18 14:00:00,13.21
2023-01-18 14:30:00,13.13
2023-01-18 15:00:00,13.09
2023-01-18 15:30:00,13.06
2023-01-18 16:00:00,13.06
2023-01-18 16:30:00,13.06
2023-01-18 17:00:00,13.00
2023-01-18 17:30:00,12.96
2023-01-18 18:00:00,12.85
2023-01-18 18:30:00,12.79
2023-01-18 19:00:00,12.69
2023-01-18 19:30:00,12.58
2023-01-18 20:00:00,12.52
2023-01-18 20:30:00,12.65
2023-01-18 21:00:00,12.94
2023-01-18 21:30:00,13.02
2023-01-18 22:00:00,12.90
2023-01-18 22:30:00,12.91
2023-01-18 23:00:00,12.52
2023-01-18 23:30:00,12.29
2023-01-19 00:00:00,12.10
2023-01-19 00:30:00,12.02
2023-01-19 01:00:00,11.98
2023-01-19 01:30:00,11.90
2023-01-19 02:00:00,11.75
2023-01-19 02:30:00,11.65
2023-01-19 03:00:00,11.56
2023-01-19 03:30:00,11.50
2023-01-19 04:00:00,11.44
2023-01-19 04:30:00,11.35
2023-01-19 05:00:00,11.29
2023-01-19 05:30:00,11.23
2023-01-19 06:00:00,11.13
2023-01-19 06:30:00,11.04
2023-01-19 07:00:00,10.96
2023-01-19 07:30:00,10.75
2023-01-19 08:00:00,10.65
2023-01-19 08:30:00,10.56
2023-01-19 09:00:00,10.56
2023-01-19 09:30:00,10.50
2023-01-19 10:00:00,10.56
2023-01-19 10:30:00,10.71
2023-01-19 11:00:00,10.88
2023-01-19 11:30:00,10.90
2023-01-19 12:00:00,10.92
2023-01-19 12:30:00,11.02
2023-01-19 13:00:00,11.06
2023-01-19 13:30:00,11.21
2023-01-19 14:00:00,11.33
2023-01-19 14:30:00,11.40
